,d
1573,-43653.0
1574,-43243.5
1575,-43326.0
1576,-44959.0
1577,-46744.5
1578,-49580.5
1579,-48115.5
1580,-45119.5
1581,-41053.5
1582,-36616.0
1583,-32335.0
1584,-31632.5
1585,-30863.0
1586,-29829.0
1587,-28961.0
1588,-28079.5
1589,-29272.5
1590,-34690.5
1591,-40943.5
1592,-43129.0
1593,-44388.0
1594,-44648.0
1595,-44586.5
1596,-44334.5
1597,-43538.5
1598,-43057.5
1599,-42800.0
1600,-44412.5
1601,-45661.0
1602,-48914.5
1603,-48084.0
1604,-45003.0
1605,-41275.5
1606,-37111.0
1607,-32932.5
1608,-32213.0
1609,-31775.0
1610,-31042.0
1611,-30205.0
1612,-29511.5
1613,-30787.0
1614,-35946.0
1615,-41535.5
1616,-43509.5
1617,-43893.0
1618,-43733.0
1619,-43796.0
1620,-43586.0
1621,-43075.0
1622,-42880.5
1623,-42891.0
1624,-44228.5
1625,-45711.0
1626,-48712.5
1627,-47482.5
1628,-44669.5
1629,-40964.5
1630,-36604.5
1631,-32523.0
1632,-31850.0
1633,-31200.0
1634,-30164.5
1635,-29068.5
1636,-28165.0
1637,-29455.0
1638,-34460.0
1639,-40058.0
1640,-42245.5
1641,-43543.0
1642,-43416.5
1643,-43362.0
1644,-43032.0
1645,-42438.5
1646,-42004.0
1647,-41425.0
1648,-42882.0
1649,-44549.0
1650,-46738.5
1651,-45357.0
1652,-42165.5
1653,-38655.5
1654,-35192.5
1655,-32110.0
1656,-31704.0
1657,-30497.0
1658,-29017.5
1659,-27803.5
1660,-26851.0
1661,-27068.0
1662,-28763.0
1663,-31447.5
