,Z1_1,Z1_2,Z1_3,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
53,-20.14205340336252,-15.716329619491574,-163.31810116940554,-491.50700187588416,-3715.070628675671,-2164.970344343485,-2800.5887358812224,-4895.763276852927,-802.7009126343072,-1795.5975457694594,-1282.543817393411,-304.3973502140474,-410.579866098248,-52.668400233189246,-1063.005343926875,-149.9529716946841,-1033.7798634478097,-2256.9895738827718,-3539.707882883755
54,-23.686842615583053,-18.48223806860608,-192.0603664981731,-578.0070564179716,-4368.883922853931,-2545.982318034559,-3293.46285055122,-5757.366039085528,-943.9678171928392,-2111.6037980749306,-1508.2580182770873,-357.9680771731537,-482.8375972716275,-61.93748383815852,-1250.0830862118655,-176.34311503106258,-1215.714229044758,-2654.195962594772,-4162.659181164179
55,-27.871554255934463,-21.747461637684026,-225.99132405037608,-680.1225175814728,-5140.726743107369,-2995.776409012261,-3875.312975172709,-6774.509483339888,-1110.7369040159692,-2484.6570216312475,-1774.7192342428314,-421.20964987796026,-568.1396422293889,-72.87986707589334,-1470.9330039140955,-207.49733419579147,-1430.4922629173486,-3123.1079624210784,-4898.068649320711
56,-30.35727745312231,-23.68700793554553,-246.1463491844913,-740.7792109024813,-5599.2022051647145,-3262.954580889213,-4220.932572497418,-7378.693778828951,-1209.797920238171,-2706.2510360522197,-1932.997481969672,-458.77521181134557,-618.8091483130296,-79.37965444099667,-1602.1180916118853,-226.00297375320145,-1558.0706451159049,-3401.642192633919,-5334.902661203728
57,-32.0263804355442,-24.98936634535095,-259.67996089161886,-781.5087128198642,-5907.057384676617,-3442.358258668929,-4453.007769498739,-7784.388914423354,-1276.3149957537705,-2855.0460550532566,-2039.27749562214,-483.9995777143161,-652.8324956502263,-83.7441043879882,-1690.205703850197,-238.42906295405913,-1643.736441879227,-3588.67118881531,-5628.226130559502
58,-33.07909579016928,-25.81077323855409,-268.2157079351921,-807.1971050318573,-6101.223878827143,-3555.5094592023297,-4599.3792791562455,-8040.2637783680775,-1318.2677976344685,-2948.8921525342157,-2106.3090709293583,-499.9087682054914,-674.2912675383687,-86.49679461865566,-1745.7631996620953,-246.26628752165482,-1697.7664811090933,-3706.6317329601534,-5813.22736973689
59,-33.820628784821814,-26.389372487315,-274.2282905758923,-825.2920157986442,-6237.994812428561,-3635.213196980472,-4702.483412112293,-8220.50210517087,-1347.8193631891832,-3014.9973702417046,-2153.5261316053093,-511.1152065039238,-689.4068325482916,-88.43579039859705,-1784.8979154841738,-251.7868307319732,-1735.8252560811602,-3789.7231737435145,-5943.542295133312
60,-34.22333536831572,-26.703594144828486,-277.49356215608105,-835.1188741394991,-6312.271420197995,-3678.498148781397,-4758.476487843588,-8318.384682648659,-1363.868021963985,-3050.8973323014893,-2179.1684446575387,-517.2011211062968,-697.6156885083403,-89.48880674659546,-1806.150924882764,-254.78488895903772,-1756.4939510030179,-3834.8478957407256,-6014.312818849857
61,-33.65850016029829,-26.262867664160233,-272.91370071893317,-821.3357481549235,-6208.0912430668395,-3617.7867878138654,-4679.940745259434,-8181.094833718773,-1341.3582148512755,-3000.544138763089,-2143.2026029738918,-508.6650330925789,-686.1019684604797,-88.01184875200029,-1776.3415091029235,-250.5798202769212,-1727.5040931905419,-3771.556077874508,-5915.050266104573
62,-33.52812483781278,-26.16113913125465,-271.8565766173693,-818.1543255566319,-6184.04436355707,-3603.773385050857,-4661.813116845499,-8149.4055762607495,-1336.1624987915295,-2988.9216093021764,-2134.900963590564,-506.69473235396276,-683.4443703806495,-87.67093715139599,-1769.4608965981854,-249.60920587873417,-1720.8126511425564,-3756.9470537770794,-5892.138473175933
